City,State,Inflection,lat,lon
AG,Aargau,592,47.449406,8.327494999999999
AI,Appenzell Innerrhoden,19,47.328414,9.409647
AR,Appenzell Ausserrhoden,64,47.382709999999996,9.27186
BE,Bern,909,46.916667,7.466667
BL,Baselland,610,47.482779
BS,Basel-Stadt,718,47.558395000000004,7.573271000000001
FR,Fribourg,550,46.718391,7.074008
GE,Genève,2702,46.195602,6.1481129999999995
GL,Glarus,58,47.04057,9.068036
GR,Graubünden,569,46.796756,10.305946
JU,Jura,144,47.350744,7.156107
LU,Luzern,422,47.083333,8.266667
NE,Neuchatel,366,46.995534,6.780125999999999
NW,Nidwalden,76,46.95805,8.36609
OW,Obwalden,51,46.898509000000004,8.250681
SG,St.Gallen,455,47.43162,9.39845
SH,Schaffhausen,44,47.713570000000004,8.59167
SO,Solothurn,227,47.206649,7.516605
SZ,Schwyz,155,47.061787,8.756585000000001
TG,Thurgau,179,47.55993,8.8998
TI,Ticino,2271,46.009279,8.955575999999999
UR,Uri,59,46.880421999999996,8.644409
VD,Vaud,3639,46.5369,6.58478
VS,Valais,1218,46.209567,7.604659
ZG,Zug,131,47.157296,8.537294000000001
ZH,Zürich,2323,47.451541999999996,8.564572
